name,text,rt,id
puan,"emang sudah seharusnya ada transparansi dari DPR nih masalah RKUHP
Waktunya Puan Maharani https://t.co/Kyu9hPZ13M",0,1552435495158022144
puan,Mandat yang diberikan Megawati kepada Puan Maharani disebut sebagai persiapan untuk pilpres. https://t.co/xB9t20mZ1f Waktunya Puan Maharani,0,1552435495158022144
puan,Megawati dinilai telah jauh hari mengantongi nama calon presiden atau calon wakil presiden dari internal PDIP. Sela… https://t.co/1sruxOPu8T,0,1552435495158022144
puan,"Nama bonda kita adalah Khadijah binti Khuwaylid.

خديجة بنت خويلد

Tiada ""Siti"" sepanjang pengetahuan saya. Saya di… https://t.co/ncVjzaEcBz",38,1552259818739486721
puan,"Puan Maharani dipuji-puji Presiden Jokowi. Hal ini dinilai ajar, karena Puan menjadi satu-satunya tokoh politik nas… https://t.co/yGxoNytzF5",0,1552259818739486721
puan,"Mbak Puan dapat Mandat penting dari Bu Mega, sinyal restu jadi capres? https://t.co/V4hVeHWTQM Waktunya Puan Maharani",0,1552259818739486721
puan,"Megawati puji Puan Maharani, Megawati menegaskan bahwa perempuan juga bisa menjadi seorang pemimpin.… https://t.co/jjWja5kexN",0,1552259818739486721
puan,Mandat megawati ke Puan dinilai pesan mempersiapkan diri di Pilpres. https://t.co/5sYeYfdU4F Waktunya Puan Maharani,0,1552259818739486721
puan,"Aksentuasi pidato Megawati saat pembukaan Rakernas PDIP dinilai kuat mengirim sinyal kepada publik, Puan Maharani s… https://t.co/TJezVc3POa",0,1552259818739486721
puan,"Puan Maharani menyoroti pentingnya RUU KIA. Puan menuturkan, aturan hukum tersebut bakal meningkatkan kesejahteraan… https://t.co/rlrVQLV4GW",0,1552259818739486721
puan,"Mandat politik Megawati ke Puan, pesan untuk persiapan pilpres 2024. https://t.co/RBqNQhh9jK Waktunya Puan Maharani",0,1552259818739486721
puan,"Mega tugasi Puan Safari politik, pengamat menilai bahwa itu adalah pesan untuk persiapkan diri di Pilpres 2024.… https://t.co/gu93zQko3r",0,1552259818739486721
puan,Mandat penting yang diberikan Megawati adalah pesan tersirat agar Puan mempersiapkan diri untuk diusung sebagai cal… https://t.co/Hnm9Zw5lwJ,0,1552259818739486721
puan,Mandat politik dari Mega ke Puan berisi pesan untuk persiapkan diri di Pilpres 2024. https://t.co/ZJ34nah4Tk Waktunya Puan Maharani,0,1552259818739486721
puan,Hari Anak Nasional 2022 menjadi momentum tingkatkan kesejahteraan anak dan pemenuhan hak anak yang akan menjadi jam… https://t.co/7CHZvUf6gz,0,1552259818739486721
puan,Ketua Umum PDI Perjuangan Megawati Soekarnoputri diprediksi bakal mengusung putrinya sendiri yang juga Ketua DPR RI… https://t.co/bjaM0OtERG,0,1552259818739486721
puan,"Pengamat menilai, mandat politik Mega ke Puan Maharani untuk persiapkan diri di pilpres. https://t.co/7k3645gjyF Waktunya Puan Maharani",0,1552259818739486721
puan,Megawati mengirim sinyal kuat bahwa Puan Maharani menjadi kandidat kuat calon presiden yang akan diusung PDIP dalam… https://t.co/3iSCuS6u9Z,0,1552259818739486721
puan,"Kenaikan inflasi menggerus daya beli masyarakat, Puan Maharani himbau untuk perkuat daya beli masyarakat demi kepen… https://t.co/5lDVOsW7jo",0,1552259818739486721
puan,Ada pesan khusus dari Mega ke Puan agar datang ke partai politik lain dan persiapkan diri untuk pilpres 2024 mendat… https://t.co/Bt6aTjFXwC,0,1552259818739486721
puan,Mandat yang diberikan Megawati kepada Puan Maharani diyakini sebagai pesan tersirat kepada anaknya tersebut untuk m… https://t.co/tLkgXDlRLg,0,1552259818739486721
puan,Mandat politik dari Megawati ke Puan Maharani dinilai ada maksud khusus. https://t.co/7r2bcWFCkY Waktunya Puan Maharani,0,1552259818739486721
puan,Puan Maharani mendorong agar penyusunan upah minimum 2023 mempertimbangkan kenaikan berbagai kebutuhan pokok.… https://t.co/96gk4VJsbz,0,1552259818739486721
puan,Puan Maharani disebut sebagai tokoh perempuan yang paling potensial untuk maju sebagai calon presiden di 2024.… https://t.co/UOVYPTUnSH,0,1552259818739486721
puan,Pengamat menilai bahwa safari politik Puan Maharani adalah sebuah bentuk persiapan untuk nyapres di 2024.… https://t.co/3TKclXlcrc,0,1552259818739486721
puan,Umur baru 20 dah tag twtjodoh nak cari pasangan hidup ni patut habiskan belajar dulu. Cari kerja. Hidup sekarang ni… https://t.co/6nFqpXsveo,1136,1551481237650698241
puan,Safari politik yang dilakukan Puan Maharani sebagai sinyal kuat PDIP untuk bekontestasi dalam pemilihan presiden 20… https://t.co/qM08IQQbkU,0,1551481237650698241
puan,Puan Maharani mendorong NU untuk bergerak secara global untuk merawat jagad dan membangun peradaban. https://t.co/Q9HnJRyh5I,0,1551481237650698241
puan,SMRC prediksi PDIP akan mengusung Puan Maharani dalam pilpres 2024. https://t.co/WmJeec6T8j,0,1551481237650698241
puan,"Emeklerim,hayallerim ve hakkım... Hepsi 3-5 dklik mülakatla hiç oldu gitti. Kpssden 90 puan aldım ben. Bunun için m… https://t.co/bicNjKAzo2",27,1552244634126110720
